year,designer,cluster,file_name
2006,Josep Abril,75,2006~Josep Abril~c352daf3576b52181d098ddae86f3878d543a4465f4f28571205eaae3c7d9dba.jpg
2001,Iceberg,75,2001~Iceberg~ea925333c8dd4b321f10658510c102fb246ef9fad44e17d11fbe738ec1e11771.jpg
2003,Dirk Schönberger,75,2003~Dirk Schönberger~b6d38f02a10e95d86c084a13b22c0e596f3972bc93ec16b5caf5869b0b0cda95.jpg
2003,Byblos,75,2003~Byblos~45256ecad2deb0d335dbd77b7432fc065774be33a12dc12196966009cd7a9921.jpg
2006,Messori,75,2006~Messori~1c6968b37fbc6aecd84134b14bbeba63a086e353c24f778e7bbfb471bc208fa1.jpg
2002,Giorgio Armani,76,2002~Giorgio Armani~ad7f1cfce3f756231d8b731116aafb6d7d795d52037e6f5f389a7f59409cf4fb.jpg
2006,Hans Ubbink,76,2006~Hans Ubbink~3a245204cf5520c0956830d3e802f5d23b4c88e85ad1e357194f875e4c3e79da.jpg
2006,Exté,76,2006~Exté~1de6c2d12ea357adc107c4a15e6742409440e75039f038f6444cbe34e3cf61f6.jpg
2003,Issey Miyake,76,2003~Issey Miyake~229da77e95f6ffc0ce087a308e9ceb8c7a6c59dce12a9cbd57cc9f0a76899dd2.jpg
2008,Jo No Fui,76,2008~Jo No Fui~32e384931fa527597745d8fc7f653259f5b7ee292c346ddaf68d1a35ab24f886.jpg
2009,Terexov,76,2009~Terexov~0071a1df3419cb4018c117ed1a3a89074ac9bc73bb8fde0bdeaa3d9be8dab7db.jpg
2010,Kris Van Assche,76,2010~Kris Van Assche~04d1c98ad1916d6d00d1c42f152bbec1efe2105e4775261ac8cd43299e39feae.jpg
2004,Loewe,76,2004~Loewe~05e6189488ccb309374353a2e5ca86e503267cedbfc58b53c13a45812b741bf6.jpg
2007,Ilja Visser,76,2007~Ilja Visser~18f28b52535db2e772ab9fad1845ab9a32b466558661ca63c9b70e84fedc3c14.jpg
1999,Christian Lacroix,76,1999~Christian Lacroix~ea7c5cc026976b22853695b86c6f592487486955abf223def9fc1611b88c98fa.jpg
2011,Kristina Ti,76,2011~Kristina Ti~75b254cc0252c5b4caaad04df126086393be70b24eb38833212cec6e9cc69da7.jpg
2011,Louise Amstrup ,76,2011~Louise Amstrup ~cdb1cee95de611555f2fae5b4da00571d3455e5b4589f0ab5b973dd60cc51e49.jpg
2006,Dries Van Noten,112,2006~Dries Van Noten~d22377c87347e66e89dc0098f45ea59a5a8b1663c9064d1b73d6e4e97da7e5d0.jpg
2013,Siviglia,112,2013~Siviglia~a27f9ea4381aa598ec22f003ab98b22cd6e2975ea477f893bdc229503d724762.jpg
2007,Dolce & Gabbana,112,2007~Dolce & Gabbana~ec4615460d7615cea1f8eeab5d5d521bb11c927e4b51d9355fcb54fa550c08ce.jpg
2009,Tommy Hilfiger,112,2009~Tommy Hilfiger~07534f1ea954ee2340a07c806d0a8a84921184673123ddf5ad46fc8062181a7f.jpg
2013,Canali,112,2013~Canali~c833263c92fe2ba8b1b77576533335e2e8683b231de13ae4e763029df731ad43.jpg
2008,Calvin Klein Collection,112,2008~Calvin Klein Collection~e2215309a0f8d51fdf661641a7c35c7aa6954a695dc4e93b08a8057534a09555.jpg
2002,Salvatore Ferragamo,112,2002~Salvatore Ferragamo~227ed5eb507193bfcc2007e57c977c9dbdb8f171c8750af67f760796e0d22cc9.jpg
2009,Paul Smith,112,2009~Paul Smith~c8f89a5b3b622b36f1092f1b550b5ca30e34d6e8701ede5b66e4c8aae0e37203.jpg
2012,Diesel Black Gold ,112,2012~Diesel Black Gold ~a9cf836847993b8e9f27e1bd32703e31197d28fcb665f8a42ffefd0cdbfd9d52.jpg
2010,Dries Van Noten,112,2010~Dries Van Noten~c369802478da4104054a5f3ca81ac1f5fd5d8fcb0b744b9b1cedb20750a6a8cd.jpg
2011,Emporio Armani ,112,2011~Emporio Armani ~5a779becabd03ed6a8a3530b2eba05cd3a088a3382f3aef6e5fb352084f01a0a.jpg
2013,Lanvin,112,2013~Lanvin~3517800b822983ee856d8c3b59b89de43b40ae733c15cd2af61e9ccc1c0f090f.jpg
2009,Derek Lam,130,2009~Derek Lam~2c382ae4bb131bf3e669e5ad29c707ab5b1c5e4876701979629f6d4df1d2decd.jpg
2013,Lela Rose,130,2013~Lela Rose~fa5d5379359344335150adc239cfd36d60201adf702fdcb4f572c809c4f9724c.jpg
2009,Nathan Jenden,130,2009~Nathan Jenden~a3fb79eda6c0a3b15d95f6b4e07977c17ec159f38beb26149bdceed166f42926.jpg
2007,Emporio Armani,130,2007~Emporio Armani~376f01929d8573bf4640837c95c0ca34479025cd7105cd72c5730e41fa896c99.jpg
2013,Bottega Veneta,130,2013~Bottega Veneta~018f1abd53932ad46bdc0b60f2d016a904eba12975f8402ab7274dcb122755ec.jpg
2001,Daryl K,130,2001~Daryl K~a925d0a967b337b10b0ad8bbfb4ff7345a1985a400b5aeea8a372d3aaa956246.jpg
2006,Erdem,130,2006~Erdem~017c024358b7a32a6592c779ba2bbf87b2754d4eef613f5a7b99da84bd51e8ab.jpg
2009,Jean-Paul Gaultier,130,2009~Jean-Paul Gaultier~136577e3c8ae0ca346d434fe16dce544063b06782092fbe8029a4a31d6522e58.jpg
2008,Marios Schwab,130,2008~Marios Schwab~8d11f060445836ef6947f4196dc89810a4ffbd5f987176d738b16355a3cd5f60.jpg
2006,Locking Shocking,130,2006~Locking Shocking~8a3ab941f8abc4360a47a7a29430116935d4ade0c9a893cf3821ef9f2d2be484.jpg
